stage,num_players,hand_odds,std_odds,last_action,action
flop,5,0.010796221322537112,0.22557250090817102,checks,checks
flop,5,0.601889338731444,0.25653756086611473,checks,bets
flop,5,0.13090418353576247,0.26388061550830777,bets,calls
flop,5,0.13360323886639677,0.25175694939910503,bets,calls
flop,5,0.0796221322537112,0.2053049533705059,bets,folds
flop,4,0.010796221322537112,0.19786056859901902,bets,folds
turn,3,0.8095238095238095,0.35622633877924903,checks,bets
turn,3,0.07142857142857142,0.3050599590031952,bets,folds
turn,2,0.11904761904761904,0.3723652228938751,bets,calls
river,2,1.0,0.4515496075577717,checks,bets
river,2,0.0,0.5494928570853955,bets,folds
preflop,9,0.137,0.054452143268000255,checks,bets
preflop,9,0.121,0.05440115356375923,bets,calls
preflop,9,0.048,0.03894697679543862,bets,folds
preflop,8,0.151,-0.006124153952281414,bets,calls
preflop,8,0.098,0.06669358598710175,bets,folds
preflop,7,0.172,0.06765809617131528,bets,calls
preflop,7,0.054,-0.007374753912587358,bets,folds
preflop,6,0.092,0.03612922458478702,bets,folds
preflop,5,0.065,0.0589623503346319,bets,folds
flop,4,0.11585365853658537,0.25645335809036796,checks,bets
flop,4,0.08292682926829269,0.2653501203823365,bets,folds
flop,3,0.7670731707317073,0.35514910529348376,bets,raises
flop,3,0.02804878048780488,0.33673722728703603,raises,folds
flop,2,0.11585365853658537,0.3512250615546282,raises,calls
turn,2,0.2727272727272727,0.22439992884500165,checks,bets
turn,2,0.7272727272727273,0.20123438420425918,bets,raises
turn,2,0.2727272727272727,0.2442302722380225,raises,re-raises
turn,2,0.7272727272727273,0.19099749146842318,re-raises,calls
river,2,1.0,0.46135911740648733,checks,bets
river,2,0.0,0.4761751290119753,bets,folds
preflop,9,0.088,0.0025348727368922387,checks,checks
preflop,9,0.114,0.03279309274799298,checks,bets
preflop,9,0.134,0.07237385702607524,bets,calls
preflop,9,0.107,-0.013454843581270772,bets,calls
preflop,9,0.106,-0.009363560901396579,bets,calls
preflop,9,0.054,0.07461470333216277,bets,folds
preflop,8,0.139,0.06262180384130958,bets,calls
preflop,8,0.12,0.0021803674889499768,bets,calls
preflop,8,0.082,0.026976916563702002,bets,folds
preflop,7,0.088,0.05499691075710744,bets,folds
flop,6,0.052552552552552555,0.2553005989680471,checks,checks
flop,6,0.6681681681681682,0.19806831257163943,checks,bets
flop,6,0.013513513513513514,0.23128308049434618,bets,folds
flop,5,0.05855855855855856,0.22115398894659907,bets,folds
flop,4,0.12462462462462462,0.19043925744151458,bets,calls
