stage,hole_cards,comm_cards,hand_potential,hand_strength,action
FLOP,"['Jd', '8d']","['Ac', '5h', 'As']",0.5385955507906728,8,Player IlxxxlI folds
PREFLOP,"['Kc', '9c']",-1,0.09,-1,Player IlxxxlI folds
PREFLOP,"['3s', 'Ah']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Kd', '6h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4d', 'Kh']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['5d', 'Qd']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['9c', '6h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4c', 'Jh']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['8d', '2c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Kd', 'Qd']",-1,0.39,-1, 'Player IlxxxlI raises (1.20)'
FLOP,"['Kd', 'Qd']","['8h', '4h', 'Ts']",0.09890109890109888,9, 'Player IlxxxlI bets (1.30)'
TURN,"['Kd', 'Qd']","['8h', '4h', 'Ts', 'Th']",0.42870544090056284,8, 'Player IlxxxlI checks'
PREFLOP,"['6d', 'Td']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '4c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Js', 'Ks']",-1,0.29,-1, 'Player IlxxxlI raises (6)'
FLOP,"['Js', 'Ks']","['8s', 'Jh', '8d']",0.6175288126507639,7, 'Player IlxxxlI allin (32.40)'
PREFLOP,"['Ad', 'Qc']",-1,0.31,-1, 'Player IlxxxlI raises (2.50)'
PREFLOP,"['8d', 'Ks']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5d', '2d']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['4h', '3c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['2s', '9d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Js']",-1,0.19,-1, 'Player IlxxxlI raises (1.20)'
PREFLOP,"['7d', '6h']",-1,-0.11,-1, 'Player IlxxxlI calls (1)'
PREFLOP,"['7d', '9h']",-1,-0.10,-1,
PREFLOP,"['3s', 'Qc']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'Qc']",-1,0.03,-1,Player IlxxxlI folds
PREFLOP,"['Ah', '8s']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['6c', '6s']",-1,0.07,-1, 'Player IlxxxlI raises (2)'
PREFLOP,"['Ah', 'Jc']",-1,0.19,-1, 'Player IlxxxlI raises (7)'
PREFLOP,"['5d', '8h']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['7c', '6c']",-1,-0.03,-1, 'Player IlxxxlI calls (4)'
FLOP,"['7c', '6c']","['2d', '8h', 'Qs']",0.037121415170195626,9, 'Player IlxxxlI checks'
TURN,"['7c', '6c']","['2d', '8h', 'Qs', '3h']",0.037255427499329974,9, 'Player IlxxxlI bets (10)'
PREFLOP,"['Js', 'Kc']",-1,0.08,-1,'Player IlxxxlI raises (4)'
FLOP,"['Js', 'Kc']","['5d', 'Ac', '4s']",0.16108281961940496,9, 'Player IlxxxlI checks'
PREFLOP,"['4s', 'Qc']",-1,-0.13,-1, 'Player IlxxxlI checks'
FLOP,"['4s', 'Qc']","['Qs', 'Kh', 'Th']",0.48606271777003485,8, 'Player IlxxxlI checks'
TURN,"['4s', 'Qc']","['Qs', 'Kh', 'Th', '4h']",0.6248994907531493,7, 'Player IlxxxlI bets (2)'
RIVER,"['4s', 'Qc']","['Qs', 'Kh', 'Th', '4h', '8c']",0.6248994907531493,7, 'Player IlxxxlI bets (3.49)'
PREFLOP,"['Kc', '3s']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['3h', '7h']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Ts']",-1,0.08,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['Jh', 'Js']",-1,0.86,-1, 'Player IlxxxlI raises (6.29)'
PREFLOP,"['5s', 'Kc']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Kh', '9d']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Qd']",-1,0.59,-1, 'Player IlxxxlI raises (4)'
PREFLOP,"['3s', '8h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Kh', 'Td']",-1,0.01,-1,Player IlxxxlI folds
